Ecosystem	Package	Version	Scope	License	License files	Source
cargo	cfb	0.7.3	cargo-lock	MIT		https://github.com/mdsteele/rust-cfb
cargo	cfg-expr	0.15.8	cargo-lock	MIT OR Apache-2.0		https://github.com/EmbarkStudios/cfg-expr
cargo	cfg-if	1.0.4	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/cfg-if
cargo	chrono	0.4.45	cargo-lock	MIT OR Apache-2.0		https://github.com/chronotope/chrono
cargo	combine	4.6.7	cargo-lock	MIT		https://github.com/Marwes/combine
cargo	cookie	0.18.1	cargo-lock	MIT OR Apache-2.0		https://github.com/SergioBenitez/cookie-rs
cargo	core-foundation	0.10.1	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs
cargo	core-foundation-sys	0.8.7	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs
cargo	core-graphics	0.25.0	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs
cargo	core-graphics-types	0.2.0	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs
cargo	cpufeatures	0.2.17	cargo-lock	MIT OR Apache-2.0		https://github.com/RustCrypto/utils
cargo	crc32fast	1.5.0	cargo-lock	MIT OR Apache-2.0		https://github.com/srijs/rust-crc32fast
cargo	crossbeam-channel	0.5.15	cargo-lock	MIT OR Apache-2.0		https://github.com/crossbeam-rs/crossbeam
cargo	crossbeam-utils	0.8.21	cargo-lock	MIT OR Apache-2.0		https://github.com/crossbeam-rs/crossbeam
cargo	crypto-common	0.1.7	cargo-lock	MIT OR Apache-2.0		https://github.com/RustCrypto/traits
cargo	cssparser	0.36.0	cargo-lock	MPL-2.0		https://github.com/servo/rust-cssparser
cargo	cssparser-macros	0.6.1	cargo-lock	MPL-2.0		https://github.com/servo/rust-cssparser
cargo	ctor	0.8.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/mmastrac/rust-ctor
cargo	ctor-proc-macro	0.0.7	cargo-lock	Apache-2.0 OR MIT		https://github.com/mmastrac/rust-ctor
cargo	darling	0.23.0	cargo-lock	MIT		https://github.com/TedDriggs/darling
cargo	darling_core	0.23.0	cargo-lock	MIT		https://github.com/TedDriggs/darling
cargo	darling_macro	0.23.0	cargo-lock	MIT		https://github.com/TedDriggs/darling
cargo	dbus	0.9.12	cargo-lock	Apache-2.0/MIT		https://github.com/diwic/dbus-rs
cargo	deranged	0.5.8	cargo-lock	MIT OR Apache-2.0		https://github.com/jhpratt/deranged
cargo	derive_more	2.1.1	cargo-lock	MIT		https://github.com/JelteF/derive_more
cargo	derive_more-impl	2.1.1	cargo-lock	MIT		https://github.com/JelteF/derive_more
cargo	digest	0.10.7	cargo-lock	MIT OR Apache-2.0		https://github.com/RustCrypto/traits
cargo	dirs	6.0.0	cargo-lock	MIT OR Apache-2.0		https://github.com/soc/dirs-rs
cargo	dirs-sys	0.5.0	cargo-lock	MIT OR Apache-2.0		https://github.com/dirs-dev/dirs-sys-rs
cargo	dispatch2	0.3.1	cargo-lock	Zlib OR Apache-2.0 OR MIT		https://github.com/madsmtm/objc2
cargo	displaydoc	0.2.6	cargo-lock	MIT OR Apache-2.0		https://github.com/yaahc/displaydoc
cargo	dlopen2	0.8.2	cargo-lock	MIT		https://github.com/OpenByteDev/dlopen2
cargo	dlopen2_derive	0.4.3	cargo-lock	MIT		https://github.com/OpenByteDev/dlopen2
cargo	dom_query	0.27.0	cargo-lock	MIT		https://github.com/niklak/dom_query
cargo	dpi	0.1.2	cargo-lock	Apache-2.0 AND MIT		https://github.com/rust-windowing/winit
cargo	dtoa	1.0.11	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/dtoa
cargo	dtoa-short	0.3.5	cargo-lock	MPL-2.0		https://github.com/upsuper/dtoa-short
cargo	dtor	0.3.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/mmastrac/rust-ctor
cargo	dtor-proc-macro	0.0.6	cargo-lock	Apache-2.0 OR MIT		https://github.com/mmastrac/rust-ctor
cargo	dunce	1.0.5	cargo-lock	CC0-1.0 OR MIT-0 OR Apache-2.0		https://gitlab.com/kornelski/dunce
cargo	dyn-clone	1.0.20	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/dyn-clone
cargo	either	1.16.0	cargo-lock	MIT OR Apache-2.0		https://github.com/rayon-rs/either
cargo	embed-resource	3.0.11	cargo-lock	MIT		https://github.com/nabijaczleweli/rust-embed-resource
cargo	embed_plist	1.2.2	cargo-lock	MIT OR Apache-2.0		https://github.com/nvzqz/embed-plist-rs
cargo	equivalent	1.0.2	cargo-lock	Apache-2.0 OR MIT		https://github.com/indexmap-rs/equivalent
cargo	erased-serde	0.4.10	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/erased-serde
cargo	errno	0.3.14	cargo-lock	MIT OR Apache-2.0		https://github.com/lambda-fairy/rust-errno
cargo	fastrand	2.4.1	cargo-lock	Apache-2.0 OR MIT		https://github.com/smol-rs/fastrand
cargo	fdeflate	0.3.7	cargo-lock	MIT OR Apache-2.0		https://github.com/image-rs/fdeflate
cargo	field-offset	0.3.6	cargo-lock	MIT OR Apache-2.0		https://github.com/Diggsey/rust-field-offset
cargo	find-msvc-tools	0.1.9	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/cc-rs
cargo	fixedbitset	0.5.7	cargo-lock	MIT OR Apache-2.0		https://github.com/petgraph/fixedbitset
cargo	flate2	1.1.9	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/flate2-rs
cargo	fnv	1.0.7	cargo-lock	Apache-2.0 / MIT		https://github.com/servo/rust-fnv
cargo	foldhash	0.2.0	cargo-lock	Zlib		https://github.com/orlp/foldhash
cargo	foreign-types	0.5.0	cargo-lock	MIT/Apache-2.0		https://github.com/sfackler/foreign-types
cargo	foreign-types-macros	0.2.3	cargo-lock	MIT/Apache-2.0		https://github.com/sfackler/foreign-types
cargo	foreign-types-shared	0.3.1	cargo-lock	MIT/Apache-2.0		https://github.com/sfackler/foreign-types
cargo	form_urlencoded	1.2.2	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/rust-url
cargo	futures-channel	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-core	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-executor	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-io	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-macro	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-sink	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-task	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	futures-util	0.3.32	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/futures-rs
cargo	gdk	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	gdk-pixbuf	0.18.5	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	gdk-pixbuf-sys	0.18.0	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	gdk-sys	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	gdkwayland-sys	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	gdkx11	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	gdkx11-sys	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	generic-array	0.14.7	cargo-lock	MIT		https://github.com/fizyk20/generic-array.git
cargo	getrandom	0.2.17	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-random/getrandom
cargo	getrandom	0.3.4	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-random/getrandom
cargo	getrandom	0.4.3	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-random/getrandom
cargo	gio	0.18.4	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	gio-sys	0.18.1	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	glib	0.18.5	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	glib-macros	0.18.5	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	glib-sys	0.18.1	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	glob	0.3.3	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/glob
cargo	gobject-sys	0.18.0	cargo-lock	MIT		https://github.com/gtk-rs/gtk-rs-core
cargo	gtk	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	gtk-sys	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	gtk3-macros	0.18.2	cargo-lock	MIT		https://github.com/gtk-rs/gtk3-rs
cargo	h2	0.4.15	cargo-lock	MIT		https://github.com/hyperium/h2
cargo	hashbrown	0.12.3	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/hashbrown
cargo	hashbrown	0.17.1	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/hashbrown
cargo	heck	0.4.1	cargo-lock	MIT OR Apache-2.0		https://github.com/withoutboats/heck
cargo	heck	0.5.0	cargo-lock	MIT OR Apache-2.0		https://github.com/withoutboats/heck
cargo	hex	0.4.3	cargo-lock	MIT OR Apache-2.0		https://github.com/KokaKiwi/rust-hex
cargo	html5ever	0.38.0	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/html5ever
cargo	http	1.4.2	cargo-lock	MIT OR Apache-2.0		https://github.com/hyperium/http
cargo	http-body	1.0.1	cargo-lock	MIT		https://github.com/hyperium/http-body
cargo	http-body-util	0.1.3	cargo-lock	MIT		https://github.com/hyperium/http-body
cargo	httparse	1.10.1	cargo-lock	MIT OR Apache-2.0		https://github.com/seanmonstar/httparse
cargo	httpdate	1.0.3	cargo-lock	MIT OR Apache-2.0		https://github.com/pyfisch/httpdate
cargo	hyper	1.10.1	cargo-lock	MIT		https://github.com/hyperium/hyper
cargo	hyper-timeout	0.5.2	cargo-lock	MIT OR Apache-2.0		https://github.com/hjr3/hyper-timeout
cargo	hyper-util	0.1.20	cargo-lock	MIT		https://github.com/hyperium/hyper-util
cargo	iana-time-zone	0.1.65	cargo-lock	MIT OR Apache-2.0		https://github.com/strawlab/iana-time-zone
cargo	iana-time-zone-haiku	0.1.2	cargo-lock	MIT OR Apache-2.0		https://github.com/strawlab/iana-time-zone
cargo	ico	0.5.0	cargo-lock	MIT		https://github.com/mdsteele/rust-ico
cargo	icu_collections	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	icu_locale_core	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	icu_normalizer	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	icu_normalizer_data	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	icu_properties	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	icu_properties_data	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	icu_provider	2.2.0	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	ident_case	1.0.1	cargo-lock	MIT/Apache-2.0		https://github.com/TedDriggs/ident_case
cargo	idna	1.1.0	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/rust-url/
cargo	idna_adapter	1.2.2	cargo-lock	Apache-2.0 OR MIT		https://github.com/hsivonen/idna_adapter
cargo	indexmap	1.9.3	cargo-lock	Apache-2.0 OR MIT		https://github.com/bluss/indexmap
cargo	indexmap	2.14.0	cargo-lock	Apache-2.0 OR MIT		https://github.com/indexmap-rs/indexmap
cargo	infer	0.19.0	cargo-lock	MIT		https://github.com/bojand/infer
cargo	ipnet	2.12.0	cargo-lock	MIT OR Apache-2.0		https://github.com/krisprice/ipnet
cargo	itertools	0.14.0	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-itertools/itertools
cargo	itoa	1.0.18	cargo-lock	MIT OR Apache-2.0		https://github.com/dtolnay/itoa
cargo	javascriptcore-rs	1.1.2	cargo-lock	MIT		https://github.com/tauri-apps/javascriptcore-rs
cargo	javascriptcore-rs-sys	1.1.1	cargo-lock	MIT		https://github.com/tauri-apps/javascriptcore-rs
cargo	jni	0.21.1	cargo-lock	MIT/Apache-2.0		https://github.com/jni-rs/jni-rs
cargo	jni-sys	0.3.1	cargo-lock	MIT OR Apache-2.0		https://github.com/jni-rs/jni-sys
cargo	jni-sys	0.4.1	cargo-lock	MIT OR Apache-2.0		https://github.com/jni-rs/jni-sys
cargo	jni-sys-macros	0.4.1	cargo-lock	MIT OR Apache-2.0		https://github.com/jni-rs/jni-sys
cargo	js-sys	0.3.103	cargo-lock	MIT OR Apache-2.0		https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys
cargo	json-patch	3.0.1	cargo-lock	MIT/Apache-2.0		https://github.com/idubrov/json-patch
cargo	jsonptr	0.6.3	cargo-lock	MIT OR Apache-2.0		https://github.com/chanced/jsonptr
cargo	keyboard-types	0.7.0	cargo-lock	MIT OR Apache-2.0		https://github.com/pyfisch/keyboard-types
cargo	libappindicator	0.9.0	cargo-lock	Apache-2.0 OR MIT		registry+https://github.com/rust-lang/crates.io-index
cargo	libappindicator-sys	0.9.0	cargo-lock	Apache-2.0 OR MIT		registry+https://github.com/rust-lang/crates.io-index
cargo	libc	0.2.186	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/libc
cargo	libdbus-sys	0.2.7	cargo-lock	Apache-2.0/MIT		https://github.com/diwic/dbus-rs
cargo	libloading	0.7.4	cargo-lock	ISC		https://github.com/nagisa/rust_libloading/
cargo	libredox	0.1.18	cargo-lock	MIT		https://gitlab.redox-os.org/redox-os/libredox.git
cargo	linux-raw-sys	0.12.1	cargo-lock	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT		https://github.com/sunfishcode/linux-raw-sys
cargo	litemap	0.8.2	cargo-lock	Unicode-3.0		https://github.com/unicode-org/icu4x
cargo	lock_api	0.4.14	cargo-lock	MIT OR Apache-2.0		https://github.com/Amanieu/parking_lot
cargo	log	0.4.33	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-lang/log
cargo	markup5ever	0.38.0	cargo-lock	MIT OR Apache-2.0		https://github.com/servo/html5ever
cargo	matchit	0.7.3	cargo-lock	MIT AND BSD-3-Clause		https://github.com/ibraheemdev/matchit
cargo	memchr	2.8.2	cargo-lock	Unlicense OR MIT		https://github.com/BurntSushi/memchr
cargo	memoffset	0.9.1	cargo-lock	MIT		https://github.com/Gilnaa/memoffset
cargo	mime	0.3.17	cargo-lock	MIT OR Apache-2.0		https://github.com/hyperium/mime
cargo	miniz_oxide	0.8.9	cargo-lock	MIT OR Zlib OR Apache-2.0		https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
cargo	mio	1.2.1	cargo-lock	MIT		https://github.com/tokio-rs/mio
cargo	muda	0.19.3	cargo-lock	Apache-2.0 OR MIT		https://github.com/tauri-apps/muda
cargo	multimap	0.10.1	cargo-lock	MIT OR Apache-2.0		https://github.com/havarnov/multimap
cargo	ndk	0.9.0	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-mobile/ndk
cargo	ndk-sys	0.6.0+11769913	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-mobile/ndk
cargo	new_debug_unreachable	1.0.6	cargo-lock	MIT		https://github.com/mbrubeck/rust-debug-unreachable
cargo	num-conv	0.2.2	cargo-lock	MIT OR Apache-2.0		https://github.com/jhpratt/num-conv
cargo	num-traits	0.2.19	cargo-lock	MIT OR Apache-2.0		https://github.com/rust-num/num-traits
cargo	num_enum	0.7.6	cargo-lock	BSD-3-Clause OR MIT OR Apache-2.0		https://github.com/illicitonion/num_enum
